refcode;scale;description;category;brand;ctns;price_eu
GP12 07C;1:12;Merceded W196 Streamliner-n. 18 - purple;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 08A;1:12;Ferrari Testa Rossa 250 red ;Street;Gp;2;169,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 08B;1:12;Ferrari Testa Rossa 250 white/blue;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 08C;1:12;Ferrari Testa Rossa 250 back/red;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 08D;1:12;Ferrari Testa Rossa 250 yellow/black;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 08E;1:12;Ferrari Testa Rossa 250 silver/red;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 09A;1:12;330 P4 Monza w.67 N.3;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 09B;1:12;330 2nd Place Daytona 67 N.24;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 10A;1:12;126 C2 1982, Gilles Villeneuve;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 10B;1:12;126 C2 1982, Didier Pironi;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 10C;1:12;126 C2 1980, Patrick Tambay;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 10E;1:12;126 C2 1982, Gilles Villeneuve long beach twin;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 10F;1:12;126 C2 1982, Didier Pironi long beach twin;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 11A;1:12;312 T4 1975 Niky Lauda ;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP12 11B;1:12;312 T4 197 Clary Regazzoni ;Racing;Gp;2;184,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
