ref_code,pcs_available,description,brand_str,category_str,colour_str,scale_str,notes
TMR1217B,,Porsche 935 K3 Coca Cola - N. 5 - RED - Bob Akin,Top Marques,Racing,Black,1:18,
TMR1218A,,"Lancia Delta 16v 1990- N. 1 - 3rd place in 1990 MonteCarlo Rallye, Biason/ Siviero",Top Marques,Racing,Black,1:18,
TMR1218AD,,"Lancia Delta 16v 1990- N. 1 - 3rd place in 1990 MonteCarlo Rallye, Biason/ Siviero-dirty version",Top Marques,Racing,Black,1:18,
TMR1218E,,"Lancia Delta 16v 1990- N. 7 - Winner 1990 Montecarlo Rally , Auriol/Occelli",Top Marques,Racing,Black,1:18,
TOP005E,,Lancia Thema 8.32 II series,Top Marques,Racing,Red,1:18,
TOP007A,,,Top Marques,Racing,Black,1:18,
TOP008A,,Maserati Ghibli,Top Marques,Racing,Silver,1:18,
TOP008C,,Maserati Ghibli,Top Marques,Racing,White,1:18,
TOP012C,,Maserati Granturismo MC Stradale,Top Marques,Racing,Gray,1:18,
TOP013B,,Maserati Grancabrio MC,Top Marques,Racing,Red,1:18,
TOP013C,,Maserati Grancabrio MC,Top Marques,Racing,Gray,1:18,
TOP015A,,Dodge Viper SRT,Top Marques,Racing,Black,1:18,
TOP015B,,Dodge Viper SRT,Top Marques,Racing,Blue,1:18,
TOP015C,,Dodge Viper SRT,Top Marques,Racing,White,1:18,
TOP016A,,Jeep Grand Cherokee SRT8,Top Marques,Racing,Red,1:18,
TOP016C,,Jeep Grand Cherokee SRT8,Top Marques,Racing,Black,1:18,
TOP019A,,Lancia Beta Montecarlo #576 Giro D'Italia Gilles Villesneuve,Top Marques,Racing,White,1:18,
TOP020A,,Lancia Thema 8.32 I series,Top Marques,Street,Red,1:18,
TOP021A,,Lancia Beta Montecarlo Le Mans 65,Top Marques,Racing,Black,1:18,
TOP021B,,Lancia Beta Montecarlo Le Mans 66,Top Marques,Racing,Black,1:18,
TOP021C,,Lancia Beta Montecarlo Le Mans 67,Top Marques,Racing,Black,1:18,
TOP 22.00,,Lancia Beta Montecarlo Turbo Fruit of the Loom,Top Marques,Racing,Blue,1:18,
TOP022A,,Lancia Beta Montecarlo Turbo Fruit,Top Marques,Racing,Black,1:18,
TOP023A,,Maserati Quattroporte III - black,Top Marques,Racing,Black,1:18,
TOP023BS,,Maserati Quattroporte III - brown,Top Marques,Racing,Black,1:18,
TOP023P,,Maserati Quattroporte III - presidenziale,Top Marques,Racing,Black,1:18,
TOP024A,,Lancia 4WD MC 1987,Top Marques,Racing,Black,1:18,
TOP024AD,,Lancia 4WD MC 1987 dirty,Top Marques,Racing,Black,1:18,
TOP024B,,Lancia 4WD MRAC rally w 1987,Top Marques,Racing,Black,1:18,
TOP024C,,Lancia 4WD MC 1988,Top Marques,Racing,Black,1:18,
TOP024D,,Lancia 4WD MC 1988 dirty,Top Marques,Racing,Black,1:18,
TOP024E,,Lancia 4WD  San Remo 1987,Top Marques,Racing,Black,1:18,
TOP024F,,Lancia 4WD Esso 1987,Top Marques,Racing,Black,1:18,
TOP025A,,Maserati Bora - red,Top Marques,Racing,Black,1:18,
TOP025B,,Maserati Bora - blue,Top Marques,Racing,Black,1:18,
TOP 29.00,,Audi Pikes Peak Winner Bob Unser,Top Marques,Racing,White,1:18,
TOP029A,,Audi Pikes Peak W Bon Unser ,Top Marques,Racing,Black,1:18,
TOP030AS,,Lykan Hypersport red,Top Marques,Racing,Black,1:18,
TOP030C,,Lykan Hypersport black,Top Marques,Racing,Black,1:18,
TOP030D,,Lykan Hypersport blue,Top Marques,Racing,Black,1:18,
TOP030E,,Lykan Hypersport cheries ,Top Marques,Racing,Black,1:18,
TOP 32.00,,Alfa Romeo 75 Turvo Evo,Top Marques,Racing,Black,1:18,
TOP033A,,Maserati Khamsin red,Top Marques,Racing,Black,1:18,
TOP033B,,Maserati Khamsin yellow,Top Marques,Racing,Black,1:18,
TOP033C,,Maserati Khamsin silver,Top Marques,Racing,Black,1:18,
TOP033D,,Maserati Khamsin white,Top Marques,Racing,Black,1:18,
TOP033E,,Maserati Khamsin blu,Top Marques,Racing,Black,1:18,
TOP033F,,Maserati Khamsin brown,Top Marques,Racing,Black,1:18,
TOP034A,,Toyota W. Mcarlo'93 Castrol raice,Top Marques,Racing,Black,1:18,
TOP034AD,,Toyota W. Mcarlo'93 Castrol dirty,Top Marques,Racing,Black,1:18,
TOP034AW,,Toyota Celica St 185 Test car white,Top Marques,Racing,Black,1:18,
TOP034B,,Toyota Celica 1992  white,Top Marques,Racing,Black,1:18,
TOP034BN,,Toyota Celica W. rac'92 repsol night version,Top Marques,Racing,Black,1:18,
TOP034C,,Toyota Celica W.rac'94 Castrol,Top Marques,Racing,Black,1:18,
TOP034CD,,Toyota Celica W. Sanremo dirty ,Top Marques,Racing,Black,1:18,
TOP034D,,Toyota Celica 1000 lakes rally'93,Top Marques,Racing,Black,1:18,
TOP034E,,Toyota Celica w tour de Corse'94,Top Marques,Racing,Black,1:18,
TOP034F,,Toyota Celica w. Safari'92,Top Marques,Racing,Black,1:18,
TOP034G,,Toyota Celica 4WD Rally Catalunia'92,Top Marques,Racing,Black,1:18,
TOP034H,,Toyota Celica 4WD Rally Safari'93,Top Marques,Racing,Black,1:18,
TOP034HD,,Toyota Celica w. Safari 1993  castrol dirty,Top Marques,Racing,Black,1:18,
TOP036A,,Huracan 2016 World Finals,Top Marques,Racing,Black,1:18,
TOP036B,,Huracan 2015 Presentation,Top Marques,Racing,Black,1:18,
TOP037A,,Subaru Impreza S7 555WRT,Top Marques,Racing,Black,1:18,
TOP037AB,,SubaruImpreza S7 w/out decals,Top Marques,Racing,Black,1:18,
TOP037AD,,Subaru Impreza S7 555 dirty,Top Marques,Racing,Black,1:18,
TOP037B,,Subaru Impreza N. 5 w. New Zealand 2001,Top Marques,Racing,Black,1:18,
TOP037BD,,Subaru Impreza N. 5 w. New Zealand 2001 dirty,Top Marques,Racing,Black,1:18,
TOP037C,,Subaru Impreza N. 5 handlamps,Top Marques,Racing,Black,1:18,
TOP037CD,,Subaru Impreza N. 5 handlamps d.v.,Top Marques,Racing,Black,1:18,
TOP039A,,Jaguar 220 green,Top Marques,Racing,Black,1:18,
TOP039B,,Jaguar 220 dark met. Blue,Top Marques,Racing,Black,1:18,
TOP039C,,Jaguar 220 silver,Top Marques,Racing,Black,1:18,
TOP039D,,Jaguar 220 black,Top Marques,Racing,Black,1:18,
TOP039E,,Jaguar 220 dark red,Top Marques,Racing,Black,1:18,
TOP039F,,Jaguar 220 dark purple,Top Marques,Racing,Black,1:18,
TOP039G,,Jaguar 220 Dow Law edition,Top Marques,Racing,Black,1:18,
TOP040A,,Subaru M.Carlo '98 2p,Top Marques,Racing,Black,1:18,
TOP040AD,,Subaru M.Carlo '98 2p d.v.,Top Marques,Racing,Black,1:18,
TOP040AW,,Subaru M.Carlo '98 2p ready to race,Top Marques,Racing,Black,1:18,
TOP040B,,Subaru Impreza S4 WRC Tour de Corse 1998,Top Marques,Racing,Black,1:18,
TOP040BD,,Subaru Impreza S4 WRC Tour de Corse 1998 d.v.,Top Marques,Racing,Black,1:18,
TOP040C,,Subaru Impreza S4 WRC 2nd San Remo 98,Top Marques,Racing,Black,1:18,
TOP040CD,,Subaru Impreza S4 WRC San Remo dirty,Top Marques,Racing,Black,1:18,
TOP040D,,Subaru Impreza S4 Portogal w 98,Top Marques,Racing,Black,1:18,
TOP040DD,,Subaru Impreza S4 WRC Portugal dirty,Top Marques,Racing,Black,1:18,
TOP042A,,Dodge Viper GTS-R Oreca Le Mansa W.99,Top Marques,Racing,Black,1:18,
TOP042AD,,Dodge Viper GTS-R Oreca W.99,Top Marques,Racing,Black,1:18,
TOP042B,,Dodge Viper GTS-R Oreca Daytona w.2000,Top Marques,Racing,Black,1:18,
TOP042BD,,Dodge Viper GTS-R Dirty,Top Marques,Racing,Black,1:18,
TOP043A,,Fiat 131 Abarth San Remo w,Top Marques,Racing,Black,1:18,
TOP043A1W,,"Fiat 131 Abarth Winn,S.Remo d.v.",Top Marques,Racing,Black,1:18,
TOP043A1Y,,Fiat 131 Abarth white,Top Marques,Racing,Black,1:18,
TOP043AD,,Fiat 131 Abarth yellow,Top Marques,Racing,Black,1:18,
TOP043B,,Fiat 131 Abarth M. Carlo,Top Marques,Racing,Black,1:18,
TOP043BD,,Fiat 131 Abarth M. Carlo d.v.,Top Marques,Racing,Black,1:18,
TOP043C,,Fiat 131 Abarth W.Mcarlo,Top Marques,Racing,Black,1:18,
TOP043CD,,Fiat 131 Abarth W.Mcarlo d.v.,Top Marques,Racing,Black,1:18,
TOP043D,,Fiat 131 Abarth W.Sanremo 1980,Top Marques,Racing,Black,1:18,
TOP043DD,,Fiat 131 Abarth W.Sanremo 1980 d.v.,Top Marques,Racing,Black,1:18,
TOP043E,,Fiat 131 Abarth W.1000 Lakes,Top Marques,Racing,Black,1:18,
TOP043ED,,Fiat 131 Abarth W.1000 Lakes d.v.,Top Marques,Racing,Black,1:18,
TOP043H,,Fiat 131 Abarth - 1982 TOTIP Rally d'Elba-Bernacchini/Zanussi,Top Marques,Racing,Black,1:18,
TOP043HD,,waiting,Top Marques,Racing,Black,1:18,
TOP044A,,Toyota St. 165 n.2 W. M.Carlo '91,Top Marques,Racing,Black,1:18,
TOP044AB,,Toyota Celica St 165 MC Winner 1991,Top Marques,Racing,White,1:18,
TOP044AD,,Toyota St. 165 n.2 W. M.Carlo '91 d.v.,Top Marques,Racing,Black,1:18,
TOP044AW,,Toyota St. 165 white col. w/out,Top Marques,Racing,Black,1:18,
TOP044B,,Toyota St. 165 Safari'90,Top Marques,Racing,Black,1:18,
TOP044BD,,Toyota St. 165 Safari'90 dirty,Top Marques,Racing,Black,1:18,
TOP046A,,Mosler MT900 orange,Top Marques,Racing,Black,1:18,
TOP046B,,Mosler MT900 silver,Top Marques,Racing,Black,1:18,
TOP046C,,Mosler MT900 yellow,Top Marques,Racing,Black,1:18,
TOP047A,,Apollo Arrow 2016 orange,Top Marques,Racing,Black,1:18,
TOP047B,,"Apollo Arrow, blue ",Top Marques,Racing,Black,1:18,
TOP047C,,"Apollo Arrow,white",Top Marques,Racing,Black,1:18,
TOP047D,,"Apollo Arrow, green",Top Marques,Racing,Black,1:18,
TOP048A,,Ford Mustang  '65 Hoonigan,Top Marques,Racing,Black,1:18,
TOP048B,,Ford Mustang  '65 Hoonigan with stars,Top Marques,Racing,Black,1:18,
TOP048C,,Ford Mustang  '65 Hoonigan black,Top Marques,Racing,Black,1:18,
TOP051A,,Morgan Aero Sport red,Top Marques,Racing,Black,1:18,
TOP051B,,Morgan Aero Sport purple ,Top Marques,Racing,Black,1:18,
TOP051C,,Morgan Aero Sport gray,Top Marques,Racing,Black,1:18,
TOP052A,,Nobe M600 blue,Top Marques,Racing,Black,1:18,
TOP052B,,Nobe M600 red,Top Marques,Racing,Black,1:18,
TOP052C,,Nobe M600 orange,Top Marques,Racing,Black,1:18,
TOP053A,,Saleen S7 Twin Turbo red,Top Marques,Racing,Black,1:18,
TOP053B,,Saleen S7 Twin Turbo orenge,Top Marques,Racing,Black,1:18,
TOP053C,,Saleen S7 Twin Turbo blue,Top Marques,Racing,Black,1:18,
TOP053D,,Saleen S7 Twin Turbo yellow,Top Marques,Racing,Black,1:18,
TOP053E,,Saleen S7 Twin Turbo silver,Top Marques,Racing,Black,1:18,
TOP055A,,Lotus Elise Gt1 black,Top Marques,Racing,Black,1:18,
TOP055B,,Lotus Elise Gt1 thai racing,Top Marques,Racing,Black,1:18,
TOP055C,,Lotus Elise Gt1 yellow green racing,Top Marques,Racing,Black,1:18,
TOP056A,,Toyota Castrol Toms GT/4,Top Marques,Racing,Black,1:18,
TOP056B,,Toyota Castr Black edidion,Top Marques,Racing,Black,1:18,
TOP064A,,"Gemballa MIG, yellow",Top Marques,Racing,Black,1:18,
TOP064B,,"Gemballa MIG, blue",Top Marques,Racing,Black,1:18,
TOP064C,,"Gemballa MIG, black",Top Marques,Racing,Black,1:18,
TOP064D,,"Gemballa MIG, red",Top Marques,Racing,Black,1:18,
TOP065A,,"David Brown Speedback GT, silver",Top Marques,Racing,Black,1:18,
TOP065B,,"David Brown Speedback GT, green",Top Marques,Racing,Black,1:18,
TOP065C,,"David Brown Speedback GT, red",Top Marques,Racing,Black,1:18,
TOP066A,,Lancia Dleta Mc W 92,Top Marques,Racing,Black,1:18,
TOP066AD,,Lancia Dleta Mc W 92 dirty,Top Marques,Racing,Black,1:18,
TOP066C,,Lancia Dlet Astra WRC Portugal 93,Top Marques,Racing,Black,1:18,
TOP066H,,Lancia Dleta Integrale Tour de Corse ,Top Marques,Racing,Black,1:18,
TOP067A,,Lancia Statos Zero conept red,Top Marques,Racing,Black,1:18,
TOP067B,,Lancia Statos Zero conept silver,Top Marques,Racing,Black,1:18,
TOP068A,,Ferrari F40 LM Barchetta yellow,Top Marques,Racing,Black,1:18,
TOP068B,,Ferrari F40 LM Barchetta red,Top Marques,Racing,Black,1:18,
TOP068C,,"Ferrari F40 LM Beurlys Barchetta, Black",Top Marques,Racing,Black,1:18,
TOP068D,,"Ferrari F40 LM Beurlys Barchetta, Blu",Top Marques,Racing,Black,1:18,
TOP083A,,Pinifarna Modulo 1970 Genova white,Top Marques,Racing,Black,1:18,
TOP083B,,Pinifarna Modulo 1970 Genova black,Top Marques,Racing,Black,1:18,
TOP084A,,"Alfa Romeo Carabo 1968 Paris Auto Show, dark green/black",Top Marques,Racing,Black,1:18,
TOP085A,,Ferrari 512S yellow,Top Marques,Racing,Black,1:18,
TOP085B,,"Ferrari 512 Prototype Salone di Torino 1969, white",Top Marques,Racing,Black,1:18,
TOP086A,,Honigan Supra Mech red,Top Marques,Racing,Black,1:18,
TOP086B,,Honigan Supra Mech light red ,Top Marques,Racing,Black,1:18,
TOP086C,,Honigan Supra Mech grey,Top Marques,Racing,Black,1:18,
TOP088A,,Dino 246 red,Top Marques,Racing,Black,1:18,
TOP088B,,Dino 246 yellow,Top Marques,Racing,Black,1:18,
TOP088C,,Dino 246 black,Top Marques,Racing,Black,1:18,
TOP089A,,Ferri 275 gtb/4 red,Top Marques,Racing,Black,1:18,
TOP089B,,Ferri 275 gtb/4 yellow,Top Marques,Racing,Black,1:18,
TOP089C,,Ferri 275 gtb/4 blue,Top Marques,Racing,Black,1:18,
TOP090A,,Ford F150 Hoonitruck,Top Marques,Racing,Black,1:18,
TOP094A,,Ferrari P06 blue,Top Marques,Racing,Black,1:18,
TOP094B,,Ferrari P06 silver,Top Marques,Racing,Black,1:18,
TOP094C,,Ferrari P06 white,Top Marques,Racing,Black,1:18,
TOP095A,,Lamborghini 350GT- sivler,Top Marques,Racing,Black,1:18,
TOP095B,,Lamborghini 350GT - red,Top Marques,Racing,Black,1:18,
TOP095C,,"Lamborghini 350 GT, black",Top Marques,Racing,Black,1:18,
TOP095D,,"Lamborghini 350 GT, blu",Top Marques,Racing,Black,1:18,
TOP095E,,"Lamborghini 350 GT, green",Top Marques,Racing,Black,1:18,
TOP095F,,"Lamborghini 350 GT, white",Top Marques,Racing,Black,1:18,
TOP096A,,"Ferrari F355 Berlinetta, red - part openable",Top Marques,Racing,Black,1:18,
TOP096B,,"Ferrari F355 Berlinetta, yellow - part openable",Top Marques,Racing,Black,1:18,
TOP096C,,"Ferrari F355 Berlinetta, black - part openable",Top Marques,Racing,Black,1:18,
TOP098A,,"Ferrari F40, red",Top Marques,Racing,Black,1:18,
TOP098B,,"Ferrari F40, Yellow",Top Marques,Racing,Black,1:18,
TOP098C,,"Ferrari F40, black",Top Marques,Racing,Black,1:18,
TOP098E,,"Ferrari F40, blu",Top Marques,Racing,Black,1:18,
TOP 106.00,,Blah blah,Top Marques,Racing,Green,1:18,
TOPSET001,,Ford Mustang  '65 Hoonigan SET,Top Marques,Racing,Black,1:18,
TOPSET002,,Toytoa MC SET,Top Marques,Racing,Black,1:18,
TOPSET003,, MC SET Paris Dakar,Top Marques,Racing,Black,1:18,
TOPSET006,,Pininfarina Design Set,Top Marques,Racing,Black,1:18,
YYYYYY,,33eeeedddddd,Top Marques,Racing,Green,1:18,wwww
ZTEST,,Test product,Top Marques,Racing,Black,1:18,notes
ZZZ,,sssss,Top Marques,Racing,Red,1:18,wwww
xxxx,,ddqdqqascacs,Top Marques,Racing,White,1:12,notes
xxxxxxx,,ssssseeewwwwww,Top Marques,Racing,,1:12,qqq
